"ForecastTime","Temp_C","Precip_Probability","Has_Precipitation","Predicted_Risk"
2025-07-04 21:00:00,27.3,6,FALSE,"Safe"
2025-07-04 22:00:00,27.4,7,FALSE,"Safe"
2025-07-04 23:00:00,27.3,7,FALSE,"Safe"
2025-07-05,27.2,8,FALSE,"Safe"
2025-07-05 01:00:00,27.1,10,FALSE,"Safe"
2025-07-05 02:00:00,26.9,10,FALSE,"Safe"
2025-07-05 03:00:00,26.9,14,FALSE,"Safe"
2025-07-05 04:00:00,26.2,44,FALSE,"Safe"
2025-07-05 05:00:00,26.8,45,TRUE,"Safe"
2025-07-05 06:00:00,27.2,51,TRUE,"Safe"
2025-07-05 07:00:00,28.1,40,FALSE,"Safe"
2025-07-05 08:00:00,29.3,34,FALSE,"Safe"
